number_id,name,slug,description,price,available,stock,created_at,updated_at,image
1,detroit_engine,Slug1,This Company has the top of line product which gives you 4 to 10 years warrenty. They also got national award,1188,1,21,2010-01-12,2010-01-13,/products/2018/06/11/d.jpg
2,tesla_engine,Slug2,This Company has the top of line product which gives you 4 to 10 years warrenty. They also got national award,1382,1,269,2010-01-13,2010-01-14,/products/2018/06/11/b.jpg
3,jagadamba_product,Slug3,Change the old habbit that you are forced with old system.We deliver the new and better system,4440,1,12,2010-01-14,2010-01-15,/products/2018/06/11/a.jpg
4,E-Rickshaw_QER1300_(110Ah),Slug4,Solve the Problem and make your system better,2903,1,17,2010-01-15,2010-01-16,/products/2018/06/11/h.jpg
5,Deluxe_E_Rickshaw,Slug5,Select and compare the latest features and innovations available in the new All other products.,4187,1,70,2010-01-16,2010-01-17,/products/2018/06/11/d.jpg
6,Profit_Gain_Ev_-electric_Rickshaw,Slug6,Solve the Problem and make your system better,3282,1,391,2010-01-17,2010-01-18,/products/2018/06/11/h.jpg
7,E_Rickshaw,Slug7,Change the old habbit that you are forced with old system.We deliver the new and better system,1664,1,8,2010-01-18,2010-01-19,/products/2018/06/11/a.jpg
8,E_Rickshaw,Slug8,They are known for the performance and the quality.They Promise you best and always deliver.,3452,1,130,2010-01-19,2010-01-20,/products/2018/06/11/i.jpg
9,KOOZIE_E-Rickshaw,Slug9,They are known for the performance and the quality.They Promise you best and always deliver.,1168,1,254,2010-01-20,2010-01-21,/products/2018/06/11/a.jpg
10,E_Rickshaw_Auto_Type,Slug10,Select and compare the latest features and innovations available in the new All other products.,465,1,104,2010-01-21,2010-01-22,/products/2018/06/11/h.jpg
11,Passenger_E_Rickshaw,Slug11,This Company has the top of line product which gives you 4 to 10 years warrenty. They also got national award,3932,1,155,2010-01-22,2010-01-23,/products/2018/06/11/b.jpg
12,E_Rickshaw,Slug12,Select and compare the latest features and innovations available in the new All other products.,3638,1,197,2010-01-23,2010-01-24,/products/2018/06/11/f.jpg
13,Soni_E-Rickshaw,Slug13,Solve the Problem and make your system better,3401,1,165,2010-01-24,2010-01-25,/products/2018/06/11/b.jpg
14,Yatri_Deluxe_Rickshaw,Slug14,This Company has the top of line product which gives you 4 to 10 years warrenty. They also got national award,619,1,298,2010-01-25,2010-01-26,/products/2018/06/11/g.jpg
15,UNIRICK_E-_Rickshaw,Slug15,They are known for the performance and the quality.They Promise you best and always deliver.,2372,1,49,2010-01-26,2010-01-27,/products/2018/06/11/c.jpg
16,Electric_Passenger_Rickshaw,Slug16,Select and compare the latest features and innovations available in the new All other products.,1434,1,208,2010-01-27,2010-01-28,/products/2018/06/11/d.jpg
17,TERRA_MOTORS_y4a_battery_operated_rickshaw,Slug17,Change the old habbit that you are forced with old system.We deliver the new and better system,4379,1,225,2010-01-28,2010-01-29,/products/2018/06/11/i.jpg
18,E_Rickshaw,Slug18,Select and compare the latest features and innovations available in the new All other products.,1975,1,15,2010-01-29,2010-01-30,/products/2018/06/11/i.jpg
19,White_Moon_Battery_Operated_Rickshaw,Slug19,The retail veterans who once decided what to sell best prodcut in the world,4534,1,36,2010-01-30,2010-01-31,/products/2018/06/11/g.jpg
20,yatri_E-_Rickshaw,Slug20,This Company has the top of line product which gives you 4 to 10 years warrenty. They also got national award,740,1,241,2010-01-31,2010-02-01,/products/2018/06/11/d.jpg
21,Electrical_Three_Wheeler,Slug21,They are known for the performance and the quality.They Promise you best and always deliver.,3780,1,270,2010-02-01,2010-02-02,/products/2018/06/11/f.jpg
22,E_Rickshaw_Battery_Saver,Slug22,This Company has the top of line product which gives you 4 to 10 years warrenty. They also got national award,3557,1,199,2010-02-02,2010-02-03,/products/2018/06/11/d.jpg
23,E-Rickshaw,Slug23,They are known for the performance and the quality.They Promise you best and always deliver.,579,1,393,2010-02-03,2010-02-04,/products/2018/06/11/c.jpg
24,Electric_Auto_Rickshaw_Xv_850,Slug24,The retail veterans who once decided what to sell best prodcut in the world,791,1,262,2010-02-04,2010-02-05,/products/2018/06/11/f.jpg
25,Humrahi_Passenger_E-rickshaw,Slug25,Solve the Problem and make your system better,2316,1,300,2010-02-05,2010-02-06,/products/2018/06/11/a.jpg
26,Jangid_Delux_X1_E_Rickshaw,Slug26,Select and compare the latest features and innovations available in the new All other products.,1789,1,163,2010-02-06,2010-02-07,/products/2018/06/11/b.jpg
27,Automatic_Engine_Oil_Recycling_Plant,Slug27,The retail veterans who once decided what to sell best prodcut in the world,3215,1,238,2010-02-07,2010-02-08,/products/2018/06/11/d.jpg
28,Sand_Making_Plant,Slug28,They are known for the performance and the quality.They Promise you best and always deliver.,2904,1,351,2010-02-08,2010-02-09,/products/2018/06/11/h.jpg
29,Wall_Putty_Plant,Slug29,They are known for the performance and the quality.They Promise you best and always deliver.,3753,1,11,2010-02-09,2010-02-10,/products/2018/06/11/h.jpg
